name,album,year,image_path,kill,violence,threat,stalk,dv,emot,repro,sexHar,sexVi,rape,triv,objectif,stereo,bitch,genitals,slut,homoph
Infinite,INF,1996,infinite.jpg,0,1,1,1,3,2,2,0,2,0,0,5,6,3,0,0,0
Slim Shady LP,SSLP,1999,sslp.jpg,22,28,9,7,13,17,8,4,39,13,22,36,20,30,2,11,0
Marshall Mathers LP,MMLP1,2000,mmlp1.jpg,16,24,18,6,10,10,0,1,23,8,23,31,13,47,3,11,23
The Eminem Show,TES,2002,tes.jpg,3,12,10,2,5,12,4,0,11,0,6,17,17,28,4,7,4
Encore,ENC,2004,enc.jpg,1,10,4,1,9,12,0,4,9,2,16,31,18,7,1,8,1
Relapse,REL,2009,rel.jpg,15,14,15,15,1,5,8,6,44,23,22,43,12,10,4,5,8
Relapse: Refill,REF,2009,ref.jpg,16,18,5,7,2,3,1,3,27,9,14,29,4,8,2,5,1
Recovery,REC,2010,rec.jpg,6,19,12,3,11,20,0,3,13,4,15,41,33,25,12,15,8
Marshall Mathers LP II,MMLP2,2013,mmlp2.jpg,7,20,18,5,13,18,4,6,19,4,22,58,37,67,2,19,11
Revival,REV,2017,rev.jpg,6,7,5,10,8,9,4,8,28,12,14,44,10,19,2,2,0
Kamikaze,KAM,2018,kam.png,4,6,5,3,15,14,1,1,9,3,5,16,13,27,1,8,1
Music To Be Murdered By,MTBMB,2019,mtbmb.jpg,6,7,2,1,12,6,4,2,8,3,3,26,8,25,6,4,0
Music To Be Murdered By: Side B,MTBMBSB,2020,mtbmbsb.png,3,4,5,0,4,5,0,9,3,4,9,34,7,45,1,5,1
