xid,section,title,subtitle,author,text,image_path,image_alt,url
1,sowhat,TBA,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,Sed velit dignissim sodales ut eu. Phasellus vestibulum lorem sed risus ultricies tristique nulla aliquet enim. A iaculis at erat pellentesque. Placerat duis ultricies lacus sed turpis tincidunt id aliquet. Quis varius quam quisque id diam vel quam elementum pulvinar. Ac turpis egestas integer eget aliquet. Et molestie ac feugiat sed lectus. Massa tincidunt dui ut ornare lectus. ,predictive.png,,
2,sowhat,TBA,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,Sed velit dignissim sodales ut eu. Phasellus vestibulum lorem sed risus ultricies tristique nulla aliquet enim. A iaculis at erat pellentesque. Placerat duis ultricies lacus sed turpis tincidunt id aliquet. Quis varius quam quisque id diam vel quam elementum pulvinar. Ac turpis egestas integer eget aliquet. Et molestie ac feugiat sed lectus. Massa tincidunt dui ut ornare lectus. ,uk.png,,
3,sowhat,TBA,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,Sed velit dignissim sodales ut eu. Phasellus vestibulum lorem sed risus ultricies tristique nulla aliquet enim. A iaculis at erat pellentesque. Placerat duis ultricies lacus sed turpis tincidunt id aliquet. Quis varius quam quisque id diam vel quam elementum pulvinar. Ac turpis egestas integer eget aliquet. Et molestie ac feugiat sed lectus. Massa tincidunt dui ut ornare lectus. ,tay.png,,
4,sowhat,TBA,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,Sed velit dignissim sodales ut eu. Phasellus vestibulum lorem sed risus ultricies tristique nulla aliquet enim. A iaculis at erat pellentesque. Placerat duis ultricies lacus sed turpis tincidunt id aliquet. Quis varius quam quisque id diam vel quam elementum pulvinar. Ac turpis egestas integer eget aliquet. Et molestie ac feugiat sed lectus. Massa tincidunt dui ut ornare lectus. ,youtube.png,,
5,concerns,data bias,Invisible Women: Exposing Data Bias in a World Designed for Men,Caroline Criado-Perez,Sed velit dignissim sodales ut eu. Phasellus vestibulum lorem sed risus ultricies tristique nulla aliquet enim. A iaculis at erat pellentesque. Placerat duis ultricies lacus sed turpis tincidunt id aliquet. Quis varius quam quisque id diam vel quam elementum pulvinar. Ac turpis egestas integer eget aliquet. Et molestie ac feugiat sed lectus. Massa tincidunt dui ut ornare lectus. ,https://designshack.net/wp-content/uploads/placeholder-image.png,,https://www.penguin.co.uk/books/111/1113605/invisible-women/9781784706289.html
6,concerns,algorithmic oppression,Algorithms of Oppression: How Search Engines Reinforce Racism,Safiya Noble,Sed velit dignissim sodales ut eu. Phasellus vestibulum lorem sed risus ultricies tristique nulla aliquet enim. A iaculis at erat pellentesque. Placerat duis ultricies lacus sed turpis tincidunt id aliquet. Quis varius quam quisque id diam vel quam elementum pulvinar. Ac turpis egestas integer eget aliquet. Et molestie ac feugiat sed lectus. Massa tincidunt dui ut ornare lectus. ,https://designshack.net/wp-content/uploads/placeholder-image.png,,https://nyupress.org/9781479837243/algorithms-of-oppression/
7,concerns,technochauvinism,Artificial Unintelligence: How Computers Misunderstand the World,Meredith Broussard,Sed velit dignissim sodales ut eu. Phasellus vestibulum lorem sed risus ultricies tristique nulla aliquet enim. A iaculis at erat pellentesque. Placerat duis ultricies lacus sed turpis tincidunt id aliquet. Quis varius quam quisque id diam vel quam elementum pulvinar. Ac turpis egestas integer eget aliquet. Et molestie ac feugiat sed lectus. Massa tincidunt dui ut ornare lectus. ,https://designshack.net/wp-content/uploads/placeholder-image.png,,https://mitpress.mit.edu/books/artificial-unintelligence
9,concerns,surveillance capitalism,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neill,Sed velit dignissim sodales ut eu. Phasellus vestibulum lorem sed risus ultricies tristique nulla aliquet enim. A iaculis at erat pellentesque. Placerat duis ultricies lacus sed turpis tincidunt id aliquet. Quis varius quam quisque id diam vel quam elementum pulvinar. Ac turpis egestas integer eget aliquet. Et molestie ac feugiat sed lectus. Massa tincidunt dui ut ornare lectus. ,https://designshack.net/wp-content/uploads/placeholder-image.png,,https://weaponsofmathdestructionbook.com/
11,outcomes,law enforcement & policing,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,lawenforcement,,
12,outcomes,environment,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,environment,,
13,outcomes,social media,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,socialmedia,,
14,outcomes,health,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,health,,
15,outcomes,safety,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,safety,,
16,outcomes,education,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,education,,
17,outcomes,economy & financing,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,economy,,
18,outcomes,employment,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,employment,,
19,outcomes,privacy & security,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,security,,
19,outcomes,housing,Vitae auctor eu augue ut. Eu turpis egestas pretium aenean pharetra magna ac. ,,,housing,,
20,practitioners,Safiya Noble,Co-Founder and Co-Director of the UCLA Center for Critical Internet Inquiry,,na,noble.jpg,Safiya Noble,https://safiyaunoble.com/
21,practitioners,Joy Buolamwini,"Founder, Algorithmic Justice League",,na,buolamwini.jpg,Joy Buolamwini,https://www.media.mit.edu/people/joyab/overview/
22,practitioners,Catherine D’Ignazio,"Director, Data + Feminism Lab",,na,dignazio.jpg,Catherine D’Ignazio,http://www.kanarinka.com/
23,practitioners,Lauren F. Klein,Director of Emory University's Digital Humanities Lab,,na,klein.jpg,Lauren F. Klein,https://lklein.com/
24,practitioners,Meredith Broussard,"Associate Professor, Arthur L. Carter Journalism Institute",,na,broussard.jpg,Meredith Broussard,https://merbroussard.github.io/about/
25,practitioners,Cathy O’Neil,"Mathematician, data scientist, and author",,na,oneill.jpg,Cathy O’Neil,https://mathbabe.org/
26,practitioners,Caroline Criado-Perez,"Writer, broadcaster, and feminist activist",,na,criado-perez.jpg,Caroline Criado-Perez,https://carolinecriadoperez.com/
27,practitioners,Zeynep Tufekci,"Associate Professor, UNC School of Information and Library Science",,na,tufekci.jpeg,Zeynep Tufekci,https://sils.unc.edu/people/faculty/profiles/Zeynep-Tufekci
28,practitioners,Joy Lisi Rankin,Research program lead at the AI Now Institute,,na,rankin.jpg,Joy Lisi Rankin,http://joyrankin.com/
28,practitioners,Sasha Costanza-Chock,"Associate Professor of Civic Media, MIT",,na,costanza-chock.jpg,Sasha Costanza-Chock,https://www.schock.cc/
29,practitioners,Shoshana Zuboff,"Author, former Professor at the Harvard Business School",,na,zuboff.jpg,Shoshana Zuboff,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=6582
30,practitioners,Renee DiResta,"Technical Research Manager, Stanford Internet Observatory",,na,diresta.jpg,Renee DiResta,http://www.reneediresta.com/
31,practitioners,Timnit Gebru,"Co-founder, Black in AI",,na,gebru.jpg,Timnit Gebru,https://ai.stanford.edu/~tgebru/
32,practitioners,Virginia Eubanks,"Associate Professor of Political Science,  SUNY Albany",,na,eubanks.jpg,Virginia Eubanks,https://virginia-eubanks.com/
33,practitioners,Rediet Abebe,"Assistant Professor of Computer Science, UC Berkeley",,na,abebe.jpg,Rediet Abebe,https://www.cs.cornell.edu/~red/
34,practitioners,Shaowen Bardzell,"Professor of Informatics, Indiana University School of Informatics, Computing, and Engineering",,na,bardzell.jpg,Shaowen Bardzell,https://shaowenbardzell.com/about/
35,orgs,Data Justice Lab,"The Data Justice Lab examines the intricate relationship between datafication and social justice, highlighting the politics and impacts of data-driven processes and big data.",,"The Data Justice Lab examines the intricate relationship between datafication and social justice, highlighting the politics and impacts of data-driven processes and big data.",https://datajusticelab.org/wp-content/uploads/2017/09/datajusticelab-logo.png,Data Justice Lab logo,https://datajusticelab.org/
37,orgs,Data For Justice Project ,This project explores the meaning of social justice in an age of datafication. It is premised on two significant developments: 1) the shift to a focus on the collection and processing of massive amounts of data across social life and 2) the increasing concern with the societal implications of such processes. ,,This project explores the meaning of social justice in an age of datafication. It is premised on two significant developments: 1) the shift to a focus on the collection and processing of massive amounts of data across social life and 2) the increasing concern with the societal implications of such processes. ,https://data.aclum.org/wp-content/uploads/2019/03/D4JP-logo.png,Data For Justice Project logo,https://datajusticeproject.net/
38,orgs,Data + Feminism Lab,"The Data + Feminism Lab uses data and computational methods to work towards gender and racial equity, particularly as they relate to space and place.
",,"The Data + Feminism Lab uses data and computational methods to work towards gender and racial equity, particularly as they relate to space and place.
",https://dataplusfeminism.mit.edu/assets/og-img.jpg,Data + Feminism Lab's logo,https://dataplusfeminism.mit.edu/
39,orgs,Engagement Lab,"The Engagement Lab at Emerson College is a research-based design lab that is focused on studying and designing media and technology that is reshaping civic life.
",,"The Engagement Lab at Emerson College is a research-based design lab that is focused on studying and designing media and technology that is reshaping civic life.
","https://res.cloudinary.com/engagement-lab-home/image/upload/c_scale,q_100,w_1200/v1548872248/homepage-2.0/social.jpg",Engagement Lab logo,https://elab.emerson.edu/
40,orgs,Data & Society,Data & Society studies the social implications of data-centric technologies & automation.,,Data & Society studies the social implications of data-centric technologies & automation.,https://datasociety.net/wp-content/themes/donate-2020redesign/assets/img/logo-b.png,Data & Society logo,https://datasociety.net/
41,orgs,Algorithmic Justice League,The Algorithmic Justice League is an organization that combines art and research to illuminate the social implications and harms of artificial intelligence.,,The Algorithmic Justice League is an organization that combines art and research to illuminate the social implications and harms of artificial intelligence.,https://global-uploads.webflow.com/5e027ca188c99e3515b404b7/5e068138ad6bad4b83aa9a15_AJL%20Logo.png,AJL logo,https://www.ajl.org/
42,bookshelf,Algorithms of Oppression,How Search Engines Reinforce Racism,Safiya Noble,na,algorithmsofoppression.png,Algorithms of Oppression,https://nyupress.org/9781479837243/algorithms-of-oppression/
43,bookshelf,Invisible Women,Exposing Data Bias in a World Designed for Men,Caroline Criado-Perez,na,invisiblewomen.png,Invisible Women,https://www.penguin.co.uk/books/111/1113605/invisible-women/9781784706289.html
44,bookshelf,Data Feminism,na,Catherine D’Ignazio & Lauren F. Klein,na,datafeminism.png,Data Feminism,https://mitpress.mit.edu/books/data-feminism
45,bookshelf,Weapons of Math Destruction,How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neill,na,weapons.png,Weapons of Math Destruction,https://weaponsofmathdestructionbook.com/
46,bookshelf,Design Justice,Community-Led Practices to Build the Worlds We Need,Sasha Costanza-Chock,na,designjustice.png,Design Justice,https://mitpress.mit.edu/books/design-justice
47,bookshelf,Automating Inequality,"How High-Tech Tools Profile, Police, and Punish the Poor",Virginia Eubanks,na,automating.png,Automating Inequality,https://us.macmillan.com/books/9781250074317
48,bookshelf,Artificial Unintelligence,How Computers Misunderstand the World,Meredith Broussard,na,artificial.png,Artificial Unintelligence,https://mitpress.mit.edu/books/artificial-unintelligence
49,bookshelf,The Age of Surveillance Capitalism,The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,na,capitalism.png,The Age of Surveillance Capitalism,https://www.publicaffairsbooks.com/titles/shoshana-zuboff/the-age-of-surveillance-capitalism/9781610395694/
50,bookshelf,Race After Technology,Abolitionist Tools for the New Jim Code,Ruha Benjamin,na,raceaftertechnology.png,Race After Technology,https://www.ruhabenjamin.com/race-after-technology
51,orgs,AI Now Institute,A research institute at NYU examining the social implications of artificial intelligence.,,A research institute at NYU examining the social implications of artificial intelligence.,https://ainowinstitute.org/images/ainow-logo-knockout.svg,AI Now Institute logo,https://ainowinstitute.org/
52,orgs,Black in AI,"Black in AI increases the presence and inclusion of Black people in the field of AI by creating space for sharing ideas, fostering collaborations, mentorship and advocacy.",,"Black in AI increases the presence and inclusion of Black people in the field of AI by creating space for sharing ideas, fostering collaborations, mentorship and advocacy.",https://blackinai.github.io/static/media/bai-logo.44f8f823.png,Black in AI logo,https://blackinai.github.io/#/
