title,source,description,url,img_url,categories,tags
Art in a Time of Surveillance,The Intercept,Artists of all stripes are exploring what it means to live in a state of surveillance ' and building a thriving cultural movement in the process.,https://theintercept.com/2014/11/13/art-surveillance-explored-artists/,https://theintercept.imgix.net/wp-uploads/sites/1/2014/11/Tomas-van-Houtryve.jpg?auto=compress%2Cformat&q=90&fit=crop&w=1440&h=720,stay informed,"surveillance, algorithmsm politics"
Demystifying networks,Scott B. Weingart,"We'll start with the really basic basics, but stay with me, because by part n of this series, we'll be going over the really cool stuff only ninjas, Gandhi, and The Rolling Stones have worked on.",http://journalofdigitalhumanities.org/1-1/demystifying-networks-by-scott-weingart/,http://journalofdigitalhumanities.org/wp-content/uploads/2012/03/Ego_network.png,learn how,networks
Guerilla Girls,,"We wear gorilla masks in public and use facts, humor and outrageous visuals to expose gender and ethnic bias as well as corruption in politics, art, film, and pop culture.",https://www.guerrillagirls.com/projects,https://images.squarespace-cdn.com/content/v1/55d4aaa8e4b084df273878ef/1595287219729-PK9ZLWWNJLECBKZIUVPZ/ke17ZwdGBToddI8pDm48kM-heT4QlhiAc_0d5o91SnsUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYy7Mythp_T-mtop-vrsUOmeInPi9iDjx9w8K4ZfjXt2dujHi9SVzbruGAjrw0uWQ7E5qF7C0YRu4nUiBLuY3PhoW07ycm2Trb21kYhaLJjddA/1989_GuerrillaGirls_DoWomenHavetobeNakedMetMuseum-SQP.jpg?format=1000w,activism,"feminism, politics"
Blush,,"Create, mix, and customize illustrations made by artists around the world.",https://blush.design/,https://blush.design/og-image.png,create a design,icons
Illuminating,Syracuse University,Illuminating is a computational journalism project that empowers journalists covering US political campaigns.,https://illuminating.ischool.syr.edu,https://illuminating.ischool.syr.edu/static/img/election_2020.jpg,get inspired,
Data Viz Catalogue,Severino Ribecca,This project was a way for me to develop my own knowledge of data visualisation and create a reference tool for me to use in the future for my own work. [...] I felt it would also be beneficial to both designers and also anyone in a field that requires the use of data visualisation.,https://datavizcatalogue.com/,https://datavizcatalogue.com/images/buttons/SVG/on/bubble_chart.svg,find tools,charts
Six Degrees,Carnegie Mellon University Libraries,"Six Degrees of Francis Bacon is a digital reconstruction of the early modern social network that scholars and students from all over the world can collaboratively expand, revise, curate, and critique.",http://www.sixdegreesoffrancisbacon.com/,https://www.cmu.edu/news/stories/archives/2015/october/images/francis_bacon_853x480-min.jpg,get inspired,networks
Awesome Public Datasets,Github,"This list of a topic-centric public data sources in high quality. They are collected and tidied from blogs, answers, and user responses. Most of the data sets listed below are free, however, some are not.",https://github.com/awesomedata/awesome-public-datasets,https://github.githubassets.com/images/modules/logos_page/GitHub-Logo.png,learn how,
Viz Palette,Elijah Meeks & Susie Lu,Born out of a frustration with picking colors for data visualizations.,https://projects.susielu.com/viz-palette,https://cdn.trendhunterstatic.com/thumbs/viz-palette.jpeg,create a design,color palettes
Data Viz Color Palette Generator,Learn UI Design,"Use the palette chooser to create a series of colors that are visually equidistant. This is useful for many data visualizations, like pie charts, grouped bar charts, and maps.",https://learnui.design/tools/data-color-picker.html,https://learnui.design/tools/img/ga-after.png,find tools/software,color palettes
Feminist Data Visualization,Catherine D'Ignazio & Lauren Klein,"In this paper, we begin to outline how feminist theory may be productively applied to information visualization research and practice.",http://www.kanarinka.com/wp-content/uploads/2015/07/IEEE_Feminist_Data_Visualization.pdf,https://storage.needpix.com/rsynced_images/pencil-2160915_1280.png,activism,"feminism, data viz, data ethics"
Chart Studio,Plot.ly,Take your data viz to the next level with Chart Studio Enterprise'the world's most sophisticated editor for creating D3.js and WebGL charts.,https://plot.ly/chart-studio/,"https://images.prismic.io/plotly-marketing-website/2f688c34-182c-4458-89d4-361e7426685d_product_page_header-01.png?auto=compress,format",find tools,charts
